"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.664296833E0,1.015129445E-1,5.791667104E-4,-7.694818854E-2
1.674252833E0,1.438988809E-1,4.064779669E-2,-8.742932260E-2
1.684208833E0,1.201903491E-1,6.081922889E-2,-1.314214343E-1
1.694163833E0,1.054994391E-1,4.840018138E-2,-9.230473101E-2
1.704119833E0,1.468073773E-1,1.530450225E-2,-3.349869847E-2
1.714075833E0,1.675125141E-1,-8.782517910E-3,-2.247435808E-2
1.724030833E0,1.206497027E-1,-1.404062659E-3,-5.550878763E-2
1.733986833E0,3.984589675E-2,-3.471345752E-3,-1.246176142E-1
1.743942833E0,1.231250027E-3,1.930341303E-2,-1.796989703E-1
1.753897833E0,2.154858853E-2,1.551763326E-2,-2.251300818E-1
1.763853833E0,1.076994448E-1,-6.207696497E-3,-1.695347553E-1
1.773809833E0,1.574620823E-1,-2.033924729E-2,-7.237742007E-2
1.783765833E0,1.966363806E-1,-2.084079221E-2,-1.054252982E-2
1.793720833E0,2.855694609E-1,6.614370346E-3,1.236762124E-1
1.803676833E0,1.717353184E-1,2.457950190E-2,3.678717256E-2
1.813632833E0,-8.326037661E-3,6.643284827E-2,-2.275134069E-1
1.823587833E0,-7.916759061E-2,8.443379402E-2,1.341234326E-2
1.833543833E0,-1.553896189E-2,8.345964789E-2,7.942214549E-2
1.843499833E0,1.318825786E-2,6.142646223E-2,-3.600423038E-2
1.853454833E0,-2.167660601E-2,2.805355199E-2,-4.367811620E-2
1.863410833E0,-3.527835794E-2,3.798073545E-2,-1.108865976E-2
1.873366833E0,-1.837998693E-2,5.575802520E-2,-2.386073291E-2
1.883322833E0,4.011034621E-3,7.397707209E-2,-3.485817611E-2
1.893277833E0,3.164446416E-2,5.078876898E-2,-1.742528737E-2
1.903233833E0,-9.812486675E-3,5.214064524E-2,1.409705222E-2
1.913189833E0,-8.257098075E-2,4.518962145E-2,5.599293709E-2
1.923144833E0,-1.006889622E-1,2.609568492E-2,1.187703985E-1
1.933100833E0,-2.716520004E-2,-6.614516526E-3,2.241728926E-1
1.943056833E0,-5.045594363E-3,-5.308087751E-2,3.008404148E-1
1.953011833E0,-8.699724991E-3,-6.438032940E-2,2.847623259E-1
1.962967833E0,4.966834653E-2,-3.845742971E-2,2.043946856E-1
1.972923833E0,1.657837117E-1,-2.488282621E-3,7.720078826E-2
1.982879833E0,2.703856489E-1,4.211932160E-2,-6.624018252E-2
1.992834833E0,3.375699192E-1,4.647849396E-2,-1.680805528E-1
2.002790833E0,3.013263001E-1,3.526989318E-2,-1.924271894E-1
2.012746833E0,2.077609277E-1,3.995702125E-2,-1.202438968E-1
2.022702208E0,8.454578647E-2,3.101918668E-2,1.330358505E-2
2.032658208E0,6.441628521E-3,-2.640821859E-3,1.383696806E-1
2.042614208E0,6.633296139E-3,-2.371469870E-2,2.534364527E-1
2.052569208E0,7.665441164E-2,-1.255177930E-2,3.236790544E-1
2.062525208E0,1.626014011E-1,3.980725944E-2,1.993514621E-1
2.072481208E0,2.601140644E-1,8.768952370E-2,-1.720835567E-3
2.082436208E0,2.755417602E-1,1.122510454E-1,-6.043506682E-2
2.092392208E0,2.479820786E-1,8.456477165E-2,-8.900222361E-2
2.102348208E0,1.357975362E-1,-7.177676484E-2,-8.227500200E-2
2.112304208E0,1.921875631E-1,-3.812662348E-2,-2.235384697E-1
2.122259208E0,2.709375346E-1,1.682385738E-1,-3.100170350E-1
2.132215208E0,2.341524269E-1,2.473525710E-1,-2.876262921E-1
2.142171208E0,1.826045431E-1,8.818229780E-2,-3.160402519E-1
2.152126208E0,2.878886448E-2,-4.719360843E-2,-3.195731395E-1
2.162082208E0,-8.502277309E-2,-1.021672297E-1,-2.505654699E-1
2.172038208E0,-1.295404124E-1,-1.094692326E-1,-2.054501081E-1
2.181993208E0,-1.193234081E-1,-8.092999622E-2,-1.366541076E-1
2.191949208E0,-9.504615239E-2,-7.634563297E-2,-5.469660938E-2
2.201905208E0,-1.918856778E-2,-4.360604927E-2,1.130793035E-2
2.211860208E0,5.713907815E-2,-7.473326325E-3,8.054539561E-2
2.221816208E0,1.094797667E-1,-3.184305936E-2,1.491016603E-1
2.231772208E0,1.479608685E-1,9.523652494E-3,1.469516391E-1
2.241728208E0,1.274239488E-1,5.005698994E-2,9.281928599E-2
2.251683208E0,1.747134333E-1,7.378002092E-2,7.007420182E-2
2.261639208E0,1.546057905E-1,1.078764510E-1,1.105685091E-1
2.271595208E0,1.241748886E-1,1.161923611E-1,1.673473120E-1
2.281550208E0,1.249328613E-1,7.766827315E-2,2.409087932E-1
2.291506208E0,1.004087892E-1,3.301111378E-2,2.513753092E-1
2.301462208E0,5.692207336E-2,1.046483494E-2,2.283735323E-1
2.311417208E0,3.246144125E-2,-1.790819429E-2,1.245392615E-1
2.321373208E0,4.118525631E-2,-1.908655442E-2,2.241530120E-2
2.331329208E0,6.359513056E-2,1.490616068E-2,-4.018966734E-2
2.341284208E0,6.147308464E-2,3.600474201E-2,-2.108096659E-2
2.351240208E0,9.180830240E-2,5.180355325E-2,-1.051621735E-2
2.361196208E0,9.550374269E-2,6.869747490E-2,7.677978873E-3
2.371151208E0,7.663596093E-2,6.424087331E-2,1.063725471E-2
2.381107208E0,4.267199311E-2,5.727698565E-2,-2.096519172E-2
2.391063208E0,2.504978934E-2,4.444380909E-2,-7.774633348E-2
2.401019208E0,1.481452842E-2,3.592514679E-2,-1.790937835E-1
2.410974208E0,1.444487475E-2,1.610747114E-2,-2.195489144E-1
2.420930208E0,4.943004508E-2,3.121126771E-2,-2.494428045E-1
2.430886208E0,9.198406605E-2,4.391054302E-2,-2.280735701E-1
2.440841208E0,9.797877772E-2,1.958671063E-2,-1.684015650E-1
2.450797208E0,6.730359918E-2,1.537393793E-2,-5.045211554E-2
2.460753208E0,3.322758410E-2,2.356128238E-2,2.048162699E-2
2.470708208E0,2.611810533E-2,1.549943380E-2,5.597013295E-2
2.480664208E0,2.766718579E-2,9.603466988E-3,4.976272881E-2
2.490620208E0,5.935576217E-2,1.108712487E-2,5.662969887E-2
2.500575208E0,1.268770057E-1,3.932449870E-2,5.682324171E-2
2.510531208E0,1.741301918E-1,6.756750047E-2,2.606922626E-2
2.520487208E0,1.436203889E-1,6.728420287E-2,2.361807346E-2
2.530442208E0,9.994689569E-2,5.193584651E-2,2.403205633E-4
2.540398208E0,1.030822184E-1,4.905711606E-2,2.660892427E-2
2.550354208E0,1.507407901E-1,4.344079234E-2,2.800523937E-2
